name|Nom complet|N° affiliation|logo|flag|website|email|phone
Exempt||Club exempté
Club 01|FC Club 01
Club 02|FC Club 02
Club 03|FC Club 03
Club 04|FC Club 04
Club 05|FC Club 05
Club 06|FC Club 06
Club 07|FC Club 07
Club 08|FC Club 08
Club 09|FC Club 09
Club 10|FC Club 10
Club 11|FC Club 11
Club 12|FC Club 12
Club 13|FC Club 13
Club 14|FC Club 14
Club 15|FC Club 15
Club 16|FC Club 16
Club 17|FC Club 17
Club 18|FC Club 18
Club 19|FC Club 19
Club 20|FC Club 20
Club 21|FC Club 21
Club 22|FC Club 22
Club 23|FC Club 23
Club 24|FC Club 24
Club 25|FC Club 25
Club 26|FC Club 26
Club 27|FC Club 27
Club 28|FC Club 28
Club 29|FC Club 29
Club 30|FC Club 30
Club 31|FC Club 31
Club 32|FC Club 32
Club 33|FC Club 33
Club 34|FC Club 34
Club 35|FC Club 35
Club 36|FC Club 36
Club 37|FC Club 37
Club 38|FC Club 38
Club 39|FC Club 39
Club 40|FC Club 40
Club 41|FC Club 41
Club 42|FC Club 42
Club 43|FC Club 43
Club 44|FC Club 44
Club 45|FC Club 45
Club 46|FC Club 46
Club 47|FC Club 47
Club 48|FC Club 48
