Nom d'affichage|Nom complet|district|n° affilliation|website|email|phone|
PMG|A.S. Pays de Montaigne et Gurçon|fr_lfna_dordogne-perigord|547583|
Alliance Dronne|Alliance de la Dronne F.C.|fr_lfna_dordogne-perigord|564522|
Atur|F.C. Atur|fr_lfna_dordogne-perigord|525838|
Bassillac|F.C. Bassimilhacois|fr_lfna_dordogne-perigord|580587|
Beaumont|F.C. Pays Beaumontois|fr_lfna_dordogne-perigord|580643|
Beauronne|G.J. Beauronne et Dronne|fr_lfna_dordogne-perigord|560922|
Boulazac|Et.S. Boulazacois|fr_lfna_dordogne-perigord|507200|
Boe B E|Ent. Boe Bon Encontre|fr_lfna_dordogne-perigord|522239|
Champcevinel|A.S. Champcevinel|fr_lfna_dordogne-perigord|531969|
Coulounieix|C.O. Coulounieix Chamiers|fr_lfna_dordogne-perigord|516946|
Cours de Pile|Cours de Pile Monbazillac F.C. |fr_lfna_dordogne-perigord|564711|
Ctx Pecharmant|F.C. Coteaux Pecharmant|fr_lfna_dordogne-perigord|560216|
Douzillac|J.S. Douzillacoise et ludovicienne|fr_lfna_dordogne-perigord|560311|
Eymet|F.C.O. Eymetoise|fr_lfna_dordogne-perigord|551659|
Faux|FC Faux|fr_lfna_dordogne-perigord|546556|
La Catte|U.S. La Catte|fr_lfna_dordogne-perigord|545618|
La Force|Pays de La Force - Ginestet|fr_lfna_dordogne-perigord|560565|
Monteil|F.R. Monteil|fr_lfna_dordogne-perigord|512613|
Montignac|Esp.S. Montignacoise|fr_lfna_dordogne-perigord|507153|
Montpon|Montpon Menesplet F.C.|fr_lfna_dordogne-perigord|553247|
Lalinde|F.C. Lalinde Couze Sauveboeuf|fr_lfna_dordogne-perigord|580848|
Limeuil|F.C. Limeuil|fr_lfna_dordogne-perigord|528532|
Meyrals|U.S. Les Coquelicots de Meyrals|fr_lfna_dordogne-perigord|528308|
Mussidan|U.S. Mussidan St Medard|fr_lfna_dordogne-perigord|513424|
Naussannes|Ent. Naussannes Ste Sabine|fr_lfna_dordogne-perigord|542360|
Neuvic|A.S. Neuvic St Léon|fr_lfna_dordogne-perigord|542329|
Nontron|Ent. Nontron St Pardoux|fr_lfna_dordogne-perigord|590252|
Pays D'Eyraud|Pays de l'Eyraud|fr_lfna_dordogne-perigord|553735|
Pays du dropt|A.S.S.A Pays du dropt|fr_lfna_dordogne-perigord|540445|
Périgord Blanc|G.J. Périgord Blanc|fr_lfna_dordogne-perigord|561171|
Périgord centre|F.C. Périgord Centre|fr_lfna_dordogne-perigord|560527|
Périgord Sud|G.J. Périgord Sud|fr_lfna_dordogne-perigord|564609|
Périgueux Foot|Périgueux Foot|fr_lfna_dordogne-perigord|547084|
Prigonrieux|Prigonrieux F.C.|fr_lfna_dordogne-perigord|524054|
Sanilhac|Sp.A. Sanilhacois|fr_lfna_dordogne-perigord|524990|
Sarlat|F.C. Sarlat Marcillac|fr_lfna_dordogne-perigord|550818|
Stella|Stella J Bergerac|fr_lfna_dordogne-perigord|550170|
Tocane|U.S. Tocane St Apre|fr_lfna_dordogne-perigord|518053|

Ctx Dordogne|A.S. Coteaux de Dordogne|fr_lfna_gironde|581278|
Gensac|AM.S. Gensac Montcaret|fr_lfna_gironde|550080|
Grignols|Ent. Grignols Villamblard|fr_lfna_gironde|553747|
St Émilion|F.C. du Grand Saint Émilionnais|fr_lfna_gironde|580630|
St Seurin|R.C. de l'Isle|fr_lfna_gironde|564642|

Bordeaux|F.C. Girondin de Bordeaux|fr_lfna|500211|
Bergerac|Bergerac Perigord F.C.|fr_lfna|563716|

Exempt|Club exempté
